Line #,IM GUI Item Attribute Set,IM GUI / Load Sheet (FUSE) Name,IM / Load Sheet (FUSE) XML Name,GDSN XML Name,GDSN BMS ID,DSD Attribute Name,DSD Qualifer Attribute Name,ContentSync Attribute Name,Mandatory/ Optional,Definition,Data Type,# of digits before the decimal (floats),Min Length (Non-floats)/ # of digits after the decimal (floats),Max Length (Non-floats)/ Total digits including decimal (floats),Global/Target Market Specific,Occurrence,Qualifier Type,Qual Valid Value List,"Correctable
 Attribute (Y/N)",Relationship Dependent Data (RDD) (Y/N),Additional Comments,Examples,Notes,# of Values allowed per Qualifier Type (Language/uom/currency),Last Revision Date,Revision
59510,Marketing,Contact Party Type,contactPartyType,catalogueItemNotification/catalogueItem/tradeItem/avpList/contactPartyType,N/A,S3CNTPYTP,,contactPartyType,O,The role of the individual or department that can be contacted to provide additional information.,string,,1,150,Target Market,0..Many,,,N,Y,,,,,6/25/2021,6/25/2021- Updated the value for IM GUI Item Attribute Set
59530,Marketing,Coupon Family Code,couponFamilyCode,marketingInformationModule/marketingInformation/couponFamilyCode,1492,S1COUPFM,,couponFamilyCode,O,"This code is printed in bar code form on manufacturer coupons. The code is associated with a single base or consumer unit or a ""family"" of consumer units. It is scanned on retailer POS systems to facilitate credit for valid consumer purchases. Requires exactly 3 characters for TM US.",string,,1,35,Target Market,0..Many,,,N,N,,,,,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to update Definition
7/29/2016 - Updated Definition for TM US.
07/5/2017 - Updated with IM 8.1"
59550,Marketing,Target Consumer Gender,gender,N/A,N/A,N/A,,N/A,O,Indicates for whom the product is designed,VV/Gender,,,,,0..1,,,,,,,,,6/25/2021,"6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
1/4/2021- Participant dictionary update only (documentation only) to add attribute appearing in an Item Management (IM) general use playlist as listed on the IM Playlist Attributes tab of this document but which did not appear on this tab."
59570,Marketing,Target Market Country Code,illegalToAdvertiseTargetMarket/targetMarketCountryCode,marketingInformationModule/marketingInformation/illegalToAdvertiseTargetMarketCountryCode,1564,S3TMCNTYC,,targetMarketCountryCode,M within O group,The code that identifies the target market. The target market is at country level or higher geographical definition and is where a trade-item is intended to be sold.,VV/StandardCountryCodes,,,,Target Market,0..1,,,N,N,For a list of valid country code see the Valid Value Sheet under the Valid Value List name of StandardCountryCodes,"AF
US",Becomes required when any other attribute in the group is populated.,,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to update Definition
4/2/2021- Participant dictionary update only (documentation only) to correct the data type from countryCode to VV/StandardCountryCodes 
03/14/2017 - Updated Definition column."
59590,Marketing,Target Market Subdivision Code,illegalToAdvertiseTargetMarket/targetMarketSubdivisionCode,marketingInformationModule/marketingInformation/illegalToAdvertiseTargetMarketSubdivisionCode,1565,S3TMSUBCD,,targetMarketSubdivisionCode,O,The Code for country sub-division definition used to indicate the geo-political subdivision of the target market (=country).,string,,1,80,Target Market,0..1,,,N,N,,,,,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
03/14/2017 - Updated Definition column."
59610,Marketing,Is Limited Edition,isLimitedEdition,N/A,N/A,N/A,,N/A,O,"Indicator to denote the  product is a limited edition. Limited editions have small production sizes, or have a special marking, autograph or other characteristic which differentiate it from a full large scale production run of the same or similar products.",VV/booleanVV,,1,10,,0..1,,,,,,,,,6/25/2021,"6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to update Definition
1/4/2021- Participant dictionary update only (documentation only) to add attribute appearing in an Item Management (IM) general use playlist as listed on the IM Playlist Attributes tab of this document but which did not appear on this tab."
59630,Marketing,Is Trade Item a Promotional Unit?,isTradeItemAPromotionalUnit,promotionalitemInformationModule/isTradeItemAPromotionalUnit,2929,S1ITPROU,,isTradeItemAPromotionalItem,O,"An indicator used to point out those trade items, which are promotions from regular line articles.",VV/booleanVV,,,,Target Market,0..1,,,N,Y,,"true
false",,,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
9/21/2017 : Updated with IM 8.1"
59650,Marketing,Is Trade Item Considered Collectible Or Memorabilia,isTradeItemConsideredCollectibleOrMemorabilia,marketingInformationModule/marketingInformation/isTradeItemConsideredCollectibleOrMemorabilia,5480,S3ISTICC,,isTradeItemConsideredCollectibleOrMemorabilia,O,Is the trade item considered collectible by consumer or evokes memories to the end consumer.,VV/NonBinaryLogicCodes,,1,60,Target Market,0..1,,,N,N,For a list of valid values for this attribute refer to the Valid Value Sheet under the Valid Value List name of NonBinaryLogicCodes,,,,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to update IM GUI Name
11/30/2017 - Will be added with IM 8.4"
59670,Marketing,Item Presented Date Time,itemPresentedDateTime,catalogueItemNotification/catalogueItem/tradeItem/avpList/itemPresentedDateTime,N/A,S3ITPDTME,,itemPresentedDateTime,O,The date and time the item was presented to Category Manager for acceptance.,dateTime,,,,Target Market,0..Many,,,N,Y,,,,,6/25/2021,6/25/2021- Updated the value for IM GUI Item Attribute Set
59690,Marketing,Campaign End Date,marketingCampaign/campaignEndDateTime,marketingInformationModule/marketingInformation/campaignEndDateTime,1543,S1CMPEDAT,,campaignEndDateTime,O,The date suggested by the supplier for the campaign to end. It indicates the end of a marketing campaign.,dateTime,,,,Target Market,0..1,,,N,N,,,,,6/25/2021,6/25/2021- Updated the value for IM GUI Item Attribute Set
59710,Marketing,Campaign Name,marketingCampaign/campaignName,marketingInformationModule/marketingInformation/campaignName,1544,S1CMPNAME,,campaignName,O,"Name of the sales or marketing campaign, for which the trade item is intended. Input of user-defined text in order to assign the item to a specific marketing campaign.",string,,1,200,Target Market,0..Many,Language,StandardLanguageCodes,N,N,,,,Single,6/25/2021,6/25/2021- Updated the value for IM GUI Item Attribute Set
59730,Marketing,Campaign Start Date,marketingCampaign/campaignStartDateTime,marketingInformationModule/marketingInformation/campaignStartDateTime,1546,S1CMPSDAT,,campaignStartDateTime,O,The date suggested by the supplier for the campaign to start. It indicates the beginning of a marketing campaign.,dateTime,,,,Target Market,0..1,,,N,N,,,,,6/25/2021,6/25/2021- Updated the value for IM GUI Item Attribute Set
59750,Marketing,Marketing Circular Copy,marketingCircularCopy,catalogueItemNotification/catalogueItem/tradeItem/avpList/marketingCircularCopy,N/A,S3MARKCC,,marketingCircularCopy,O,"Supplier's descriptive and comparative product information, in a bullet copy format, used as content for marketing materials such as circulars, newspaper ads and coupons. May contain up to twenty bullet copy lines. If utilized, should include product name. May include features and benefits in rank order of importance, comparative information and certification information.",string,,1,150,Target Market,0..Many,,,N,Y,,,,,6/25/2021,6/25/2021- Updated the value for IM GUI Item Attribute Set
59770,Marketing,Media Type,mediaLocator/mediaType,N/A,N/A,N/A,,N/A,O,What type of media is this value?,VV/AMZMediaLocatorType,,,,,0..1,,,,,,,,,6/25/2021,"6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
1/4/2021- Participant dictionary update only (documentation only) to add attribute appearing in an Item Management (IM) general use playlist as listed on the IM Playlist Attributes tab of this document but which did not appear on this tab."
59790,Marketing,Media Location,mediaLocator/mediaTypeDetails/mediaLocation,N/A,N/A,N/A,,N/A,O,Add an Image location/URL for this media.  Example: https://www.myimage.com/image.jpg,string,,1,2000,,0..1,,,,,,,,,6/25/2021,"6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to update Definition
2/15/2021- Participant dictionary update only (documentation only) to add missing minimum and maximum field length to attribute metadata (IM 8.20)
1/4/2021- Participant dictionary update only (documentation only) to add attribute appearing in an Item Management (IM) general use playlist as listed on the IM Playlist Attributes tab of this document but which did not appear on this tab."
59810,Marketing,Media SubType,mediaLocator/mediaTypeDetails/mediaSubType,N/A,N/A,N/A,,N/A,O,Media SubType,VV/AMZMediaSubtype,,,,,0..1,,,,,,,,,6/25/2021,"6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
1/4/2021- Participant dictionary update only (documentation only) to add attribute appearing in an Item Management (IM) general use playlist as listed on the IM Playlist Attributes tab of this document but which did not appear on this tab."
59830,Marketing,Not Legal to Advertise,notLegalToAdvertise,N/A,N/A,S1NLGADV,,N/A,O,"Indicates whether or not the item is not legal to advertise by province. E.g. some products such as tobacco, beer, over-the-counter drugs cannot be legally advertised according to provincial regulations.",VV/CanadianProvinces,,2,2,Target Market,0..Many,,,N,N,For a list of valid values for this attribute refer to the Valid Value Sheet under the Valid Value List name of CanadianProvinces,,,,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
03/14/2017 - Added Notes in Additional comments."
59850,Marketing,Operator Description,operatorDescription,N/A,N/A,S1OPERDES,,N/A,O,Used to relate pertinent product information to operators who sell the final product to consumers.,string,,1,1000,Target Market,0..Many,Language,StandardLanguageCodes,N,N,"Please note: Attributes that are not sent on 1WorldSync’s core GDSN CIN message are marked as “N/A”, but in some cases may be sent via an extension.",,,,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
03/14/2017 - Added Notes in Additional comments."
59870,Marketing,Person Or Department Name,personOrDepartmentName,catalogueItemNotification/catalogueItem/tradeItem/avpList/personOrDepartmentName,N/A,S3PDNAME,,personOrDepartmentName,O,The name of the individual or department that can be contacted to provide additional information.,string,,1,150,Target Market,0..Many,,,N,Y,,,,,6/25/2021,6/25/2021- Updated the value for IM GUI Item Attribute Set
59890,Marketing,Presentation Acceptance Date Time,presentationAcceptanceDateTime,catalogueItemNotification/catalogueItem/tradeItem/avpList/presentationAcceptanceDateTime,N/A,S3PRACCDT,,presentationAcceptanceDateTime,O,The date and time terms for submitting and item for presentation were accepted by the vendor. The information is used for auditing purposes.,dateTime,,,,Target Market,0..Many,,,N,Y,,,,,6/25/2021,6/25/2021- Updated the value for IM GUI Item Attribute Set
59910,Marketing,Free Quantity of Next Lower Level & UOM,promotional/freeQtyOfNextLowerLevel,promotionalitemInformationModule/promotionalitemInformation/freeQuantityofNextLowerLevelTradeItem,2931,S1FLLVQTY,S1FLLVUOM,freeQuantityOfNextLowerLevelTradeItem,O,"The numeric quantity of free items in a combination pack. If the free quantity promotional trade item is simple or is a multi-pack, the free quantity is populated. The unit of measure must be the same as the unit of measure of the Net Content of the Child Trade Item.",ufloat,15,15,30,Target Market,0..Many,UOM,AreaCountDimensionInfostorageMassVolumeUOM,N,N,Attributes with a datatype of ufloat (unsigned float) can support only  positive numbers.  No +/- should be used with this attribute.,,,Single,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to correct the # of digits before the decimal (floats), Min Length (Non-floats)/ Total digits including decimal (floats), and Max Length (Non-floats)/ # of digits after the decimal (floats) for float attributes, and the Definition.
3/2/2017: Corrected the Definition column to read as ""is a sample"" from ""is simple""."
59930,Marketing,Free Quantity of Product & UOM,promotional/freeQtyOfProduct,promotionalitemInformationModule/promotionalitemInformation/freeQuantityofProduct,2933,S1FPRQTY,S1FPRQUOM,freeQuantityOfProduct,O,To indicate the quantity that is free. It is needed to update the price per unit of measure as displayed on the shelves. The unit of measure must be the same as the unit of measure of the Net Content.,ufloat,15,15,30,Target Market,0..Many,UOM,AreaCountDimensionInfostorageMassVolumeUOM,N,N,Attributes with a datatype of ufloat (unsigned float) can support only  positive numbers.  No +/- should be used with this attribute.,,,Single,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to correct the # of digits before the decimal (floats), Min Length (Non-floats)/ Total digits including decimal (floats), and Max Length (Non-floats)/ # of digits after the decimal (floats) for float attributes"
59950,Marketing,Non-Promotional Product GTIN,promotional/nonPromotionalItem,promotionalitemInformationModule/promotionalitemInformation/nonPromotionalTradeItem/gtin,2937,S1NPROGTN,,N/A,M within O group,"The Global Trade Item Number (GTIN) that uniquely identifies the original product/service to provide a link between the promotional product GTIN and the original GTIN.

Used to indicate the original non-promotional GTIN (e.g., to prove to regulators the reality of the promotion); used in shelf planning. Used to communicate the link between original and promotional products for supply chain workflows.",string,,14,14,Target Market,0..1,,,N,N,,,"Previous IM GUI / Load Sheet (FUSE) Name was Non Promotional Item. 
Becomes required when any other attribute in the group is populated.",,9/1/2022,"9/1/2022- Updated IM GUI / Load Sheet (FUSE) Name and Definition for IM 8.31. Previous IM Attribute GUI Name was Non Promotional Item.
6/25/2021- Updated the value for IM GUI Item Attribute Set"
59970,Marketing,Promotion Type Code,promotional/promotionalTypeCode,promotionalitemInformationModule/promotionalitemInformation/promotionTypeCode,2935,S1PROTYP,,promotionTypeCode,O,"Valid value to identify the type of promotional variation of the base product.

Used by the seller to communicate to the buyer the type of promotional variation of the product. Used by the buyer in managing business processes such as ordering, selling and merchandising. May be used in conjunction with the Non-Promotional Product GTIN. (Refer to GTIN Management Standards (https://www.gs1.org/1/gtinrules) if a GTIN change is required.)",VV/PromotionalTypeCode,,1,80,Target Market,0..1,,,N,N,For a list of valid values for this attribute refer to the Valid Value Sheet under the Valid Value List name of PromotionalTypeCode,,"Previous IM GUI / Load Sheet (FUSE) Name was Promotional Type Code. 
",,9/1/2022,"9/1/2022- Updated IM GUI / Load Sheet (FUSE) Name and Definition for IM 8.31. Previous IM Attribute GUI Name was Promotional Type Code.
6/25/2021- Updated the value for IM GUI Item Attribute Set"
59990,Marketing,Sample Consumer Unit Send Date Time,sampleConsumerUnitSendDateTime,catalogueItemNotification/catalogueItem/tradeItem/avpList/sampleConsumerUnitSendDateTime,N/A,S3SACUSDT,,sampleConsumerUnitSendDateTime,O,The date and time that a sample consumer unit item was sent for the trade item.,dateTime,,,,Target Market,0..Many,,,N,Y,,,,,6/25/2021,6/25/2021- Updated the value for IM GUI Item Attribute Set
60010,Marketing,Sample URL,sampleURL,N/A,N/A,N/A,,N/A,O,Provide sample image URLs for the item.  ,string,,1,2000,,0..1,,,,,,,,,9/22/2022,"9/22/2022- DOCUMENTATION CHANGE ONLY- Updated the Definition for IM 8.32..
6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to correct the # of digits before the decimal (floats), Min Length (Non-floats)/ Total digits including decimal (floats), and Max Length (Non-floats)/ # of digits after the decimal (floats) for float attributes
2/15/2021- Participant dictionary update only (documentation only) to add missing minimum and maximum field length to attribute metadata (IM 8.20)
1/4/2021- Participant dictionary update only (documentation only) to add attribute appearing in an Item Management (IM) general use playlist as listed on the IM Playlist Attributes tab of this document but which did not appear on this tab."
60030,Marketing,Seasonal Product Indicator,season/isTradeItemSeasonal,marketingInformationModule/marketingInformation/isTradeItemSeasonal,1550,S1SEASITM,,isTradeItemSeasonal,O,"Indicates if the product is seasonal or offered during specific times of the year.

Used by the buyer to make procurement decisions. May be used by the buyer to update digital content.",VV/NonBinaryLogicCodes,,1,60,Target Market,0..1,,,N,N,For a list of valid values for this attribute refer to the Valid Value Sheet under the Valid Value List name of NonBinaryLogicCodes,,"Previous IM GUI / Load Sheet (FUSE) Name was Is Trade Item Seasonal?. 
",,9/1/2022,"9/1/2022- Updated IM GUI / Load Sheet (FUSE) Name and Definition for IM 8.31. Previous IM Attribute GUI Name was Is Trade Item Seasonal?.
6/25/2021- Updated the value for IM GUI Item Attribute Set"
60050,Marketing,Seasonal End Date,season/seasonalAvailabilityEndDate,marketingInformationModule/marketingInformation/seasonalAvailabilityEndDateTime,1551,S1SEAEDAT,,seasonalAvailabilityEndDateTime,O,This element indicates the end date of the seasonal availability of the trade item.The seasonal availability can be different from the ordering time and especially from the dispatching time. The availability is more like an intention of the supplier as to how long he wants to offer the product. The dispatching time is more useful for the DC and the outlet warehousing.,dateTime,,,,Target Market,0..1,,,N,N,,,,,6/25/2021,6/25/2021- Updated the value for IM GUI Item Attribute Set
60070,Marketing,Seasonal Start Date,season/seasonalAvailabilityStartDate,marketingInformationModule/marketingInformation/seasonalAvailabilityStartDateTime,1552,S1SEASDAT,,seasonalAvailabilityStartDateTime,O,This element indicates the start date of the seasonal availability of the trade item. Reference related attribute in Item document.European Requirement. The seasonal availability can be different from the ordering time and especially from the dispatching time. The availability is more like an intention of the supplier as to how long he wants to offer the product. The dispatching time is more useful for the DC and the outlet warehousing.,dateTime,,,,Target Market,0..1,,,N,N,,,,,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to update Definition
"
60090,Marketing,Season Calendar Year,season/seasonCalendarYear,marketingInformationModule/marketingInformation/seasonCalendarYear,1553,S1SEACALY,,seasonCalendarYear,O,This element indicates the calendar year in which the trade item is seasonally available.This item is seasonally available in the year 2002.European Requirement. This element applies to cases where the supplier has items in many different seasons or if multiple calendar years were involved. This attribute might be considered as an implementation attribute that could be done in different manners in the GDSN and in the one-to-one environment. Can be used for merchandising.,uinteger,,4,4,Target Market,0..Many,,,N,N,Attributes with a datatype of uinteger(unsigned integer) can support only  positive numbers.  No +/- should be used with this attribute.,"10
99",,,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to update Definition
"
60110,Marketing,Season Name,season/seasonName,marketingInformationModule/marketingInformation/seasonName,1554,S1SEANAME,,seasonName,O,This element defines the season applicable to the item.,string,,1,70,Target Market,0..Many,Language,StandardLanguageCodes,N,N,,,,Multiple,6/25/2021,6/25/2021- Updated the value for IM GUI Item Attribute Set
60130,Marketing,Season Parameter,season/seasonParameter,marketingInformationModule/marketingInformation/seasonParameterCode,1556,S1SEAPARM,,seasonParameterCode,O,"Indication of the season, in which the trade item is available, i.e. assignment to one of the following collection periods: spring/summer, autumn/ winter or all year around. It is repeatable if more than one season is indicated: Spring, Summer, Autumn, Winter, and All year (available throughout the year). The seasonal parameter is more an information for the search of data.",VV/SeasonParameter,,1,80,Target Market,0..Many,,,N,N,For a list of valid values for this attribute refer to the Valid Value Sheet under the Valid Value List name of SeasonParameter,,,,6/25/2021,6/25/2021- Updated the value for IM GUI Item Attribute Set
60150,Marketing,Short Trade Item Marketing Message,shortTradeItemMarketingMessage/marketingMessage,marketingInformationModule/marketingInformation/shortTradeItemMarketingMessage,1525,S3STIMMMM,,shortTradeItemMarketingMessage,O,A short marketing message associated to the Trade item.,string,,1,250,Target Market,0..Many,Language,StandardLanguageCodes,N,Y*,"* This attribute is RDD within its group, shortTradeItemMarketingMessage. Attributes in group:
shortTradeItemMarketingMessage/marketingMessage
shortTradeItemMarketingMessage/sequenceNumber",,,,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
1/4/2019 - IM 8.8 release: Changed the shortTradeItemMarketingMessage group as RDD specific. 
07/5/2017 - Updated with IM 8.1"
60170,Marketing,Sequence Number,shortTradeItemMarketingMessage/sequenceNumber,marketingInformationModule/marketingInformation/shortTradeItemMarketingMessage,1529,S3STIMMSN,,sequenceNumber,O,A sequence number associated to the Trade item.,uinteger,,1,10,Target Market,0..1,,,N,Y*,"* This attribute is RDD within its group, shortTradeItemMarketingMessage. Attributes in group:
shortTradeItemMarketingMessage/marketingMessage
shortTradeItemMarketingMessage/sequenceNumber",,,,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
1/4/2019 - IM 8.8 release: Changed the shortTradeItemMarketingMessage group as RDD specific. 
Errata: added missing attribute"
60190,Marketing,Sequence Number,story/sequenceNumber,marketingInformationModule/marketingInformation/tradeItemStory@sequenceNumber,6180,S3SSN,,sequenceNumber,O,Sequence Number for Trade Item Story.,integer,,1,10,Target Market,0..1,,,N,N,,,,,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
9/13/2019 - Added new attribute for IM 8.11 release"
60210,Marketing,Trade Item Story,story/tradeItemStory,marketingInformationModule/marketingInformation/tradeItemStory,6176,S3STIS,,tradeItemStory,M within O group,Allows suppliers to tell the back story of the product and inform their consumers.,string,,1,5000,Target Market,0..Many,Language,StandardLanguageCodes,N,N,,,,,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
9/13/2019 - Added new attribute for IM 8.11 release"
60230,Marketing,Street Date,streetDate,N/A,N/A,N/A,,N/A,O,Provide the date that the item will be available.,datetime,,,,,0..1,,,,,,,,,6/25/2021,"6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
1/4/2021- Participant dictionary update only (documentation only) to add attribute appearing in an Item Management (IM) general use playlist as listed on the IM Playlist Attributes tab of this document but which did not appear on this tab."
60250,Marketing,Street Date Type,streetDateType,N/A,N/A,N/A,,N/A,O,Select the type of street date provided. DELIVER_BY indicates that the the item will be delivered to the customer by the provided street date. SHIP_BY indicates that the item will be shipped by the provided street date.,VV/StreetDateTypeVV,,,,,0..1,,,,,,,,,6/25/2021,"6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
1/4/2021- Participant dictionary update only (documentation only) to add attribute appearing in an Item Management (IM) general use playlist as listed on the IM Playlist Attributes tab of this document but which did not appear on this tab."
60270,Marketing,Target Consumer Age,targetConsumerAge,marketingInformationModule/marketingInformation/targetConsumerAge,1558,S1CNSAGE,,targetConsumerAge,O,"The description of the intended age or age range of the consumer.

Used by the buyer to provide the target age range to the consumer. May be used by the buyer to guide shelf placement.",string,,1,500,Target Market,0..Many,Language,StandardLanguageCodes,N,N,,,,,9/1/2022,"9/1/2022- Updated the Definition for IM 8.31.
6/25/2021- Updated the value for IM GUI Item Attribute Set "
60290,Marketing,Target Consumer Age Group,targetConsumerAgeGroup,marketingInformationModule/marketingInformation/targetConsumerAgeGroup,1561,S3TCAGEG,,targetConsumerAgeGroup,O,"A description of a general age group the product is designed for. This would not include the actual age ranges. For example Infant, Toddler, Child, Teen, Adult.",string,,1,500,Target Market,0..Many,Language,StandardLanguageCodes,N,N,,,,Multiple,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to update Definition
6/20/2019 - Added for IM 8.9"
60310,Marketing,Target Consumer Age Group Code,targetConsumerAgeGroupCode,marketingInformationModule/marketingInformation/targetConsumerAgeGroupCode,6158,S3TCAGEGC,,targetConsumerAgeGroupCode,O,A code depicting the general age group the product is designed for example BABY.,VV/TargetConsumerAgeGroupCode,,1,80,Target Market,0..Many,,,N,N,For a list of valid values for this attribute refer to the Valid Value Sheet under the Valid Value List name of TargetConsumerAgeGroupCode,,,,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to update Definition
6/20/2019 - Added for IM 8.9"
60330,Marketing,Target Consumer Gender,targetConsumerGender,marketingInformationModule/marketingInformation/targetConsumerGender,1560,S1CNSGEN,,targetConsumerGender,O,Identifies the target consumer gender for which a product has been designed.,VV/TargetConsumerGender,,1,80,Target Market,0..1,,,N,N,For a list of valid values for this attribute refer to the Valid Value Sheet under the Valid Value List name of TargetConsumerGender,,,,6/25/2021,6/25/2021- Updated the value for IM GUI Item Attribute Set
60350,Marketing,Target Consumer Maximum Usage,targetConsumerUsage/targetConsumerMaximumUsage,marketingInformationModule/marketingInformation/targetConsumerUsage/targetConsumerMaximumUsage,6172,S3TCUMXU,S3TCUMXUU,targetConsumerMaximumUsage,O,"Measurement of the maximum usage criteria for the target consumer that will use the product for example maximum age, height, etc.",ufloat,38,15,53,Target Market,0..1,UOM,uom,N,N,,,,Multiple,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to correct the # of digits before the decimal (floats), Min Length (Non-floats)/ Total digits including decimal (floats), and Max Length (Non-floats)/ # of digits after the decimal (floats) for float attributes
9/13/2019 - Added new attribute for IM 8.11 release"
60370,Marketing,Target Consumer Minimum Usage,targetConsumerUsage/targetConsumerMinimumUsage,marketingInformationModule/marketingInformation/targetConsumerUsage/targetConsumerMinimumUsage,6170,S3TCUMU,S3TCUMUU,targetConsumerMinimumUsage,O,"Measurement of the minimum usage criteria for the target consumer that will use the product for example minimum age, height, etc.",ufloat,38,15,53,Target Market,0..1,UOM,uom,N,N,,,,Multiple,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to correct the # of digits before the decimal (floats), Min Length (Non-floats)/ Total digits including decimal (floats), and Max Length (Non-floats)/ # of digits after the decimal (floats) for float attributes
9/13/2019 - Added new attribute for IM 8.11 release"
60390,Marketing,Target Consumer Usage Type Code,targetConsumerUsage/targetConsumerUsageTypeCode,marketingInformationModule/marketingInformation/targetConsumerUsage/targetConsumerUsageTypeCode,6174,S3TCUUTC,,targetConsumerUsageTypeCode,O,"A code identifying the type of usage criteria for the target consumer that will use the product for example AGE, HEIGHT.",VV/TargetConsumerUsageTypeCode,,1,80,Target Market,0..1,,,N,N,For a list of valid values for this attribute refer to the Valid Value Sheet under the Valid Value List name of TargetConsumerUsageTypeCode,,,,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
9/13/2019 - Added new attribute for IM 8.11 release"
60410,Marketing,Tasting Notes,tastingNotes,marketingInformationModule/marketingInformation/tastingNotes,5934,S3TNT,,tastingNotes,O,"Written testimony about a products aroma, flavour, texture for example fruity.",string,,1,500,Target Market,0..Many,Language,StandardLanguageCodes,N,N,,,,Single,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
8/24/2018 - Added new attribute for IM 8.6 release"
60430,Marketing,Case Description,tradeItemCaseInformation/caseDescription,marketingInformationModule/marketingInformation/tradeItemCaseInformation/caseDescription,5902,S3TICICD,,caseDescription,O,"Describes the shape and characteristics of the case the trade item will be inside. For example watches come in unique cases. Examples include leather bound case, designer matching case, velvet lined box.",string,,1,500,Target Market,0..Many,Language,StandardLanguageCodes,N,N,,,,Single,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to update Definition
5/13/2018 : Added for IM 8.5"
60450,Marketing,Feature Benefit Extended,tradeItemFeatureBenefitExtended,marketingInformationModule/marketingInformation/avpList/tradeItemFeatureBenefitExtended,N/A,S3TIFBFE,,tradeItemFeatureBenefitExtended,O,Element for consumer facing market-ing content to describe the key features or benefits of the style suitable for display purposes.,string,,1,5000,Target Market,0..Many,Language,StandardLanguageCodes,N,N,,,,,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
6/1/2017 - Added for IM 8.0.1.1"
